i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),Station Count,500mb Height Analysis (m)
1,11,32.87,-5.03,-123.7003,44.4782,60.0,5481.1159
1,12,34.14,-5.03,-123.3813,42.9429,60.0,5495.4707
1,13,35.41,-5.03,-123.0848,41.4242,57.0,5522.7271
1,14,36.68,-5.03,-122.8084,39.9223,54.0,5569.3602
1,15,37.95,-5.03,-122.5501,38.4376,53.0,5598.258
1,16,39.22,-5.03,-122.3083,36.9705,53.0,5629.4912
1,17,40.49,-5.03,-122.0815,35.5211,49.0,5663.8867
1,18,41.76,-5.03,-121.8682,34.0896,47.0,5717.0293
1,19,43.03,-5.03,-121.6673,32.6763,47.0,5759.6298
1,20,44.3,-5.03,-121.4779,31.2812,46.0,5811.5319
1,21,45.57,-5.03,-121.2988,29.9045,40.0,5878.6086
2,0,18.9,-3.76,-126.2516,62.6686,50.0,5275.5174
2,1,20.17,-3.76,-125.5596,60.9724,55.0,5304.5794
2,2,21.44,-3.76,-124.947,59.2855,57.0,5322.5391
2,3,22.71,-3.76,-124.4009,57.6092,57.0,5348.1298
2,4,23.98,-3.76,-123.9113,55.9446,61.0,5355.0495
2,5,25.25,-3.76,-123.4697,54.2926,66.0,5364.5139
2,6,26.52,-3.76,-123.0696,52.6539,66.0,5381.6423
2,7,27.79,-3.76,-122.7054,51.0295,67.0,5397.2568
2,8,29.06,-3.76,-122.3724,49.4198,66.0,5398.5951
2,9,30.33,-3.76,-122.0669,47.8255,64.0,5424.9212
2,10,31.6,-3.76,-121.7856,46.2472,63.0,5445.3837
2,11,32.87,-3.76,-121.5257,44.6853,65.0,5456.2028
2,12,34.14,-3.76,-121.2849,43.1402,62.0,5480.5623
2,13,35.41,-3.76,-121.0612,41.6122,61.0,5492.2687
2,14,36.68,-3.76,-120.8528,40.1017,62.0,5529.9342
2,15,37.95,-3.76,-120.6583,38.609,60.0,5551.6852
2,16,39.22,-3.76,-120.4762,37.1343,58.0,5579.3307
2,17,40.49,-3.76,-120.3054,35.6778,58.0,5610.5862
2,18,41.76,-3.76,-120.1449,34.2397,54.0,5648.2437
2,19,43.03,-3.76,-119.9939,32.82,51.0,5697.7924
2,20,44.3,-3.76,-119.8514,31.419,50.0,5745.3743
2,21,45.57,-3.76,-119.7168,30.0367,47.0,5804.8941
3,0,18.9,-2.49,-122.5053,62.9514,57.0,5284.3581
3,1,20.17,-2.49,-122.0376,61.2359,59.0,5301.6325
3,2,21.44,-2.49,-121.6245,59.5318,60.0,5322.9046
3,3,22.71,-2.49,-121.2571,57.8401,64.0,5344.3912
3,4,23.98,-2.49,-120.9282,56.1616,66.0,5353.3661
3,5,25.25,-2.49,-120.6319,54.4969,66.0,5359.739
3,6,26.52,-2.49,-120.3639,52.8468,71.0,5374.7416
3,7,27.79,-2.49,-120.1201,51.2119,72.0,5393.8556
3,8,29.06,-2.49,-119.8974,49.5926,67.0,5414.1852
3,9,30.33,-2.49,-119.6933,47.9894,65.0,5421.5861
3,10,31.6,-2.49,-119.5055,46.4029,68.0,5426.0974
3,11,32.87,-2.49,-119.3321,44.8333,70.0,5443.0019
3,12,34.14,-2.49,-119.1715,43.2811,68.0,5462.6466
3,13,35.41,-2.49,-119.0224,41.7466,67.0,5479.2763
3,14,36.68,-2.49,-118.8835,40.2299,67.0,5499.4254
3,15,37.95,-2.49,-118.7539,38.7314,67.0,5516.9784
3,16,39.22,-2.49,-118.6327,37.2513,65.0,5538.2518
3,17,40.49,-2.49,-118.5191,35.7897,61.0,5570.2922
3,18,41.76,-2.49,-118.4123,34.3468,59.0,5598.8674
3,19,43.03,-2.49,-118.3118,32.9226,56.0,5637.53
3,20,44.3,-2.49,-118.2171,31.5173,54.0,5684.0069
3,21,45.57,-2.49,-118.1276,30.1309,53.0,5731.5788
4,0,18.9,-1.22,-118.6933,63.1209,58.0,5291.1056
4,1,20.17,-1.22,-118.4614,61.3936,59.0,5303.6783
4,2,21.44,-1.22,-118.2568,59.6792,66.0,5318.7135
4,3,22.71,-1.22,-118.075,57.9781,66.0,5341.556
4,4,23.98,-1.22,-117.9125,56.2912,70.0,5347.4467
4,5,25.25,-1.22,-117.7662,54.619,76.0,5361.2886
4,6,26.52,-1.22,-117.6339,52.962,75.0,5379.004
4,7,27.79,-1.22,-117.5137,51.3207,73.0,5388.67
4,8,29.06,-1.22,-117.404,49.6956,73.0,5403.1723
4,9,30.33,-1.22,-117.3034,48.0871,75.0,5414.9509
4,10,31.6,-1.22,-117.211,46.4957,73.0,5423.5663
4,11,32.87,-1.22,-117.1256,44.9215,73.0,5439.4763
4,12,34.14,-1.22,-117.0466,43.3651,71.0,5447.8545
4,13,35.41,-1.22,-116.9733,41.8266,69.0,5463.2727
4,14,36.68,-1.22,-116.905,40.3062,70.0,5480.4236
4,15,37.95,-1.22,-116.8413,38.8043,69.0,5501.1173
4,16,39.22,-1.22,-116.7817,37.3209,66.0,5516.9842
4,17,40.49,-1.22,-116.7259,35.8563,65.0,5540.1841
4,18,41.76,-1.22,-116.6734,34.4105,63.0,5565.17
4,19,43.03,-1.22,-116.624,32.9837,62.0,5593.0224
4,20,44.3,-1.22,-116.5775,31.5758,57.0,5632.1084
4,21,45.57,-1.22,-116.5336,30.187,54.0,5681.9193
5,0,18.9,0.05,-114.8484,63.1746,59.0,5283.2235
5,1,20.17,0.05,-114.858,61.4436,62.0,5292.007
5,2,21.44,0.05,-114.8664,59.7258,68.0,5311.4845
5,3,22.71,0.05,-114.8739,58.0218,70.0,5339.6003
5,4,23.98,0.05,-114.8805,56.3322,77.0,5343.6
5,5,25.25,0.05,-114.8865,54.6576,77.0,5358.1793
5,6,26.52,0.05,-114.892,52.9984,79.0,5374.6177
5,7,27.79,0.05,-114.8969,51.3551,75.0,5387.9099
5,8,29.06,0.05,-114.9014,49.7282,79.0,5400.3954
5,9,30.33,0.05,-114.9055,48.118,77.0,5410.9839
5,10,31.6,0.05,-114.9093,46.525,76.0,5428.5766
5,11,32.87,0.05,-114.9128,44.9494,77.0,5432.4411
5,12,34.14,0.05,-114.9161,43.3916,77.0,5441.7113
5,13,35.41,0.05,-114.9191,41.8519,75.0,5456.8614
5,14,36.68,0.05,-114.9219,40.3304,74.0,5474.238
5,15,37.95,0.05,-114.9245,38.8273,71.0,5489.2048
5,16,39.22,0.05,-114.927,37.3429,68.0,5503.7392
5,17,40.49,0.05,-114.9292,35.8773,68.0,5525.0797
5,18,41.76,0.05,-114.9314,34.4306,65.0,5543.4583
5,19,43.03,0.05,-114.9334,33.0029,63.0,5569.9652
5,20,44.3,0.05,-114.9353,31.5943,62.0,5598.9528
5,21,45.57,0.05,-114.9371,30.2048,58.0,5642.3189
6,0,18.9,1.32,-111.0049,63.1117,62.0,5278.1724
6,1,20.17,1.32,-111.2557,61.3851,67.0,5288.7121
6,2,21.44,1.32,-111.4769,59.6712,69.0,5306.8207
6,3,22.71,1.32,-111.6735,57.9707,74.0,5329.8417
6,4,23.98,1.32,-111.8493,56.2842,78.0,5335.6213
6,5,25.25,1.32,-112.0075,54.6124,83.0,5356.11
6,6,26.52,1.32,-112.1505,52.9557,82.0,5374.0894
6,7,27.79,1.32,-112.2805,51.3148,86.0,5390.5387
6,8,29.06,1.32,-112.3992,49.69,83.0,5401.6217
6,9,30.33,1.32,-112.508,48.0819,84.0,5416.6444
6,10,31.6,1.32,-112.608,46.4907,84.0,5428.7114
6,11,32.87,1.32,-112.7003,44.9168,83.0,5433.2212
6,12,34.14,1.32,-112.7858,43.3606,79.0,5441.609
6,13,35.41,1.32,-112.8651,41.8223,78.0,5457.6949
6,14,36.68,1.32,-112.939,40.3021,76.0,5473.9574
6,15,37.95,1.32,-113.0079,38.8004,73.0,5486.4021
6,16,39.22,1.32,-113.0724,37.3172,72.0,5502.9242
6,17,40.49,1.32,-113.1328,35.8527,70.0,5517.4309
6,18,41.76,1.32,-113.1895,34.4071,67.0,5532.6566
6,19,43.03,1.32,-113.2429,32.9804,65.0,5554.5623
6,20,44.3,1.32,-113.2933,31.5727,64.0,5582.1837
6,21,45.57,1.32,-113.3408,30.184,60.0,5615.0778
7,0,18.9,2.59,-107.197,62.9332,67.0,5268.4786
7,1,20.17,2.59,-107.6828,61.2189,69.0,5283.7216
7,2,21.44,2.59,-108.1119,59.516,76.0,5314.8867
7,3,22.71,2.59,-108.4937,57.8253,79.0,5334.0321
7,4,23.98,2.59,-108.8356,56.1477,84.0,5336.3684
7,5,25.25,2.59,-109.1434,54.4838,85.0,5357.5296
7,6,26.52,2.59,-109.4221,52.8345,85.0,5376.9045
7,7,27.79,2.59,-109.6755,51.2002,87.0,5389.6542
7,8,29.06,2.59,-109.9069,49.5815,88.0,5407.2013
7,9,30.33,2.59,-110.1191,47.9789,87.0,5414.5826
7,10,31.6,2.59,-110.3144,46.3929,86.0,5431.3621
7,11,32.87,2.59,-110.4947,44.8238,87.0,5439.4402
7,12,34.14,2.59,-110.6616,43.2721,85.0,5453.4641
7,13,35.41,2.59,-110.8167,41.7379,82.0,5465.3393
7,14,36.68,2.59,-110.961,40.2217,80.0,5480.1233
7,15,37.95,2.59,-111.0957,38.7236,76.0,5492.1196
7,16,39.22,2.59,-111.2218,37.2438,75.0,5506.3574
7,17,40.49,2.59,-111.34,35.7825,74.0,5521.669
7,18,41.76,2.59,-111.451,34.3399,70.0,5533.8511
7,19,43.03,2.59,-111.5555,32.9161,66.0,5551.5788
7,20,44.3,2.59,-111.654,31.511,66.0,5575.1406
7,21,45.57,2.59,-111.7471,30.1249,62.0,5600.814
8,0,18.9,3.86,-103.4571,62.6416,70.0,5271.4892
8,1,20.17,3.86,-104.1661,60.9472,74.0,5294.5435
8,2,21.44,3.86,-104.794,59.262,79.0,5315.9973
8,3,22.71,3.86,-105.3537,57.5872,85.0,5334.9692
8,4,23.98,3.86,-105.8557,55.9239,88.0,5347.604
8,5,25.25,3.86,-106.3084,54.273,91.0,5362.086
8,6,26.52,3.86,-106.7187,52.6355,92.0,5381.7175
8,7,27.79,3.86,-107.0923,51.012,93.0,5395.7521
8,8,29.06,3.86,-107.4338,49.4033,95.0,5409.8129
8,9,30.33,3.86,-107.7471,47.8099,91.0,5424.4259
8,10,31.6,3.86,-108.0357,46.2323,91.0,5437.2812
8,11,32.87,3.86,-108.3023,44.6711,90.0,5449.0891
8,12,34.14,3.86,-108.5493,43.1267,91.0,5467.5299
8,13,35.41,3.86,-108.7788,41.5993,87.0,5481.6917
8,14,36.68,3.86,-108.9926,40.0894,82.0,5492.231
8,15,37.95,3.86,-109.1923,38.5973,82.0,5507.5449
8,16,39.22,3.86,-109.3791,37.1231,78.0,5517.744
8,17,40.49,3.86,-109.5543,35.6671,76.0,5531.1457
8,18,41.76,3.86,-109.719,34.2294,72.0,5542.174
8,19,43.03,3.86,-109.874,32.8102,71.0,5560.8021
8,20,44.3,3.86,-110.0202,31.4096,67.0,5576.4155
8,21,45.57,3.86,-110.1583,30.0276,64.0,5602.4288
9,0,18.9,5.13,-99.8142,62.241,73.0,5263.4747
9,1,20.17,5.13,-100.7301,60.5734,73.0,5289.9751
9,2,21.44,5.13,-101.5437,58.9121,84.0,5314.0661
9,3,22.71,5.13,-102.271,57.2588,85.0,5336.9945
9,4,23.98,5.13,-102.9248,55.615,92.0,5359.5386
9,5,25.25,5.13,-103.5156,53.9818,95.0,5365.2911
9,6,26.52,5.13,-104.052,52.3604,99.0,5387.6558
9,7,27.79,5.13,-104.541,50.7517,98.0,5404.2232
9,8,29.06,5.13,-104.9886,49.1566,99.0,5419.7395
9,9,30.33,5.13,-105.3999,47.5758,98.0,5435.4244
9,10,31.6,5.13,-105.7789,46.0099,97.0,5455.5836
9,11,32.87,5.13,-106.1294,44.4595,94.0,5464.6413
9,12,34.14,5.13,-106.4545,42.9251,91.0,5478.0755
9,13,35.41,5.13,-106.7567,41.4071,89.0,5498.4407
9,14,36.68,5.13,-107.0384,39.906,88.0,5512.4752
9,15,37.95,5.13,-107.3015,38.4221,87.0,5526.5537
9,16,39.22,5.13,-107.548,36.9556,85.0,5540.7198
9,17,40.49,5.13,-107.7792,35.5069,80.0,5550.9862
9,18,41.76,5.13,-107.9966,34.076,74.0,5552.6887
9,19,43.03,5.13,-108.2013,32.6633,72.0,5567.9561
9,20,44.3,5.13,-108.3945,31.2687,68.0,5588.8153
9,21,45.57,5.13,-108.577,29.8925,65.0,5609.5647
10,0,18.9,6.4,-96.2926,61.7369,74.0,5265.5946
10,1,20.17,6.4,-97.3956,60.1021,80.0,5293.4656
10,2,21.44,6.4,-98.3792,58.4702,87.0,5324.02
10,3,22.71,6.4,-99.2614,56.8435,91.0,5343.4938
10,4,23.98,6.4,-100.0567,55.2238,96.0,5366.7055
10,5,25.25,6.4,-100.777,53.6126,98.0,5373.2438
10,6,26.52,6.4,-101.4324,52.0114,101.0,5394.1942
10,7,27.79,6.4,-102.031,50.4212,104.0,5416.1714
10,8,29.06,6.4,-102.5798,48.8432,103.0,5435.2287
10,9,30.33,6.4,-103.0847,47.2781,104.0,5454.4486
10,10,31.6,6.4,-103.5507,45.7269,103.0,5474.1812
10,11,32.87,6.4,-103.982,44.1901,98.0,5482.8336
10,12,34.14,6.4,-104.3824,42.6684,96.0,5498.9461
10,13,35.41,6.4,-104.755,41.1623,94.0,5516.0103
10,14,36.68,6.4,-105.1026,39.6723,92.0,5529.9133
10,15,37.95,6.4,-105.4275,38.1987,90.0,5542.8526
10,16,39.22,6.4,-105.732,36.7421,87.0,5557.7214
10,17,40.49,6.4,-106.0179,35.3025,84.0,5569.8918
10,18,41.76,6.4,-106.2868,33.8803,81.0,5580.398
10,19,43.03,6.4,-106.5402,32.4757,79.0,5596.8181
10,20,44.3,6.4,-106.7794,31.0889,72.0,5616.339
10,21,45.57,6.4,-107.0055,29.72,66.0,5617.779
11,0,18.9,7.67,-92.9117,61.1356,75.0,5276.1304
11,1,20.17,7.67,-94.1798,59.5386,86.0,5303.8905
11,2,21.44,7.67,-95.3157,57.9409,86.0,5332.8803
11,3,22.71,7.67,-96.3383,56.3452,93.0,5351.0427
11,4,23.98,7.67,-97.2631,54.7538,96.0,5377.2474
11,5,25.25,7.67,-98.1032,53.1686,100.0,5396.1906
11,6,26.52,7.67,-98.8693,51.5911,103.0,5407.7616
11,7,27.79,7.67,-99.5706,50.0229,106.0,5429.1912
11,8,29.06,7.67,-100.2147,48.4651,108.0,5450.3552
11,9,30.33,7.67,-100.8083,46.9188,105.0,5468.3607
11,10,31.6,7.67,-101.3569,45.385,103.0,5485.0095
11,11,32.87,7.67,-101.8654,43.8644,103.0,5501.3672
11,12,34.14,7.67,-102.338,42.3579,98.0,5517.8485
11,13,35.41,7.67,-102.7782,40.866,96.0,5532.8894
11,14,36.68,7.67,-103.1893,39.3893,96.0,5547.4479
11,15,37.95,7.67,-103.574,37.9283,91.0,5560.149
11,16,39.22,7.67,-103.9347,36.4833,89.0,5573.9644
11,17,40.49,7.67,-104.2736,35.0548,86.0,5585.7715
11,18,41.76,7.67,-104.5926,33.6431,82.0,5595.0987
11,19,43.03,7.67,-104.8933,32.2483,79.0,5613.7583
11,20,44.3,7.67,-105.1773,30.8708,78.0,5631.8066
11,21,45.57,7.67,-105.446,29.5107,70.0,5651.3148
12,0,18.9,8.94,-89.6851,60.4442,78.0,5279.6198
12,1,20.17,8.94,-91.0955,58.8889,84.0,5307.7618
12,2,21.44,8.94,-92.365,57.3293,88.0,5338.0142
12,3,22.71,8.94,-93.5125,55.7685,93.0,5364.6507
12,4,23.98,8.94,-94.554,54.2089,96.0,5395.1348
12,5,25.25,8.94,-95.503,52.653,104.0,5406.423
12,6,26.52,8.94,-96.3708,51.1026,107.0,5425.2207
12,7,27.79,8.94,-97.1671,49.5593,108.0,5443.3166
12,8,29.06,8.94,-97.9,48.0247,106.0,5461.3373
12,9,30.33,8.94,-98.5767,46.4999,106.0,5485.0041
12,10,31.6,8.94,-99.2032,44.9861,104.0,5502.9263
12,11,32.87,8.94,-99.7847,43.4843,102.0,5516.7398
12,12,34.14,8.94,-100.3259,41.9953,99.0,5533.1321
12,13,35.41,8.94,-100.8306,40.5197,99.0,5548.1969
12,14,36.68,8.94,-101.3024,39.0584,100.0,5576.9594
12,15,37.95,8.94,-101.7443,37.6118,95.0,5584.9007
12,16,39.22,8.94,-102.1591,36.1805,94.0,5601.0913
12,17,40.49,8.94,-102.5491,34.7648,92.0,5612.9786
12,18,41.76,8.94,-102.9165,33.3652,87.0,5627.7807
12,19,43.03,8.94,-103.2631,31.9819,84.0,5639.411
12,20,44.3,8.94,-103.5906,30.6152,80.0,5654.7491
12,21,45.57,8.94,-103.9006,29.2654,77.0,5675.3666
13,0,18.9,10.21,-86.6216,59.67,76.0,5285.0199
13,1,20.17,10.21,-88.1516,58.1597,84.0,5322.1865
13,2,21.44,10.21,-89.5356,56.6412,91.0,5345.5492
13,3,22.71,10.21,-90.7922,55.1182,93.0,5377.6687
13,4,23.98,10.21,-91.9371,53.5936,99.0,5404.0136
13,5,25.25,10.21,-92.9837,52.0698,103.0,5426.7405
13,6,26.52,10.21,-93.9437,50.5492,106.0,5442.1882
13,7,27.79,10.21,-94.8268,49.0336,107.0,5456.2662
13,8,29.06,10.21,-95.6415,47.5247,108.0,5480.12
13,9,30.33,10.21,-96.3952,46.0239,105.0,5498.8679
13,10,31.6,10.21,-97.0943,44.5325,104.0,5518.7223
13,11,32.87,10.21,-97.7443,43.0516,102.0,5538.9848
13,12,34.14,10.21,-98.35,41.5822,104.0,5569.2108
13,13,35.41,10.21,-98.9158,40.1251,102.0,5579.149
13,14,36.68,10.21,-99.4453,38.681,101.0,5594.9758
13,15,37.95,10.21,-99.9418,37.2507,98.0,5607.2129
13,16,39.22,10.21,-100.4083,35.8348,94.0,5615.2239
13,17,40.49,10.21,-100.8473,34.4336,91.0,5633.6272
13,18,41.76,10.21,-101.2611,33.0476,89.0,5644.3086
13,19,43.03,10.21,-101.6519,31.6773,85.0,5659.5716
13,20,44.3,10.21,-102.0214,30.3229,83.0,5675.7047
13,21,45.57,10.21,-102.3714,28.9847,78.0,5690.207
14,0,18.9,11.48,-83.7252,58.8207,77.0,5292.7289
14,1,20.17,11.48,-85.3531,57.3574,83.0,5332.4938
14,2,21.44,11.48,-86.8333,55.8824,89.0,5359.4486
14,3,22.71,11.48,-88.1832,54.3996,90.0,5391.7659
14,4,23.98,11.48,-89.4181,52.9123,98.0,5422.1849
14,5,25.25,11.48,-90.5509,51.4231,101.0,5443.6718
14,6,26.52,11.48,-91.5931,49.9347,105.0,5463.5217
14,7,27.79,11.48,-92.5546,48.4491,106.0,5480.3582
14,8,29.06,11.48,-93.4438,46.9681,107.0,5494.6136
14,9,30.33,11.48,-94.2682,45.4934,107.0,5523.2352
14,10,31.6,11.48,-95.0344,44.0265,107.0,5553.7331
14,11,32.87,11.48,-95.748,42.5685,104.0,5567.2022
14,12,34.14,11.48,-96.4141,41.1206,104.0,5585.0154
14,13,35.41,11.48,-97.0372,39.6838,104.0,5597.926
14,14,36.68,11.48,-97.6211,38.2588,100.0,5611.8312
14,15,37.95,11.48,-98.1693,36.8465,97.0,5626.0735
14,16,39.22,11.48,-98.6848,35.4475,94.0,5639.096
14,17,40.49,11.48,-99.1705,34.0624,91.0,5647.6975
14,18,41.76,11.48,-99.6289,32.6917,89.0,5664.8126
14,19,43.03,11.48,-100.062,31.3357,85.0,5676.2467
14,20,44.3,11.48,-100.4718,29.995,84.0,5691.9216
14,21,45.57,11.48,-100.8603,28.6697,80.0,5710.0648
15,0,18.9,12.75,-80.9963,57.9037,73.0,5311.7149
15,1,20.17,12.75,-82.7019,56.4888,79.0,5350.3791
15,2,21.44,12.75,-84.2608,55.0589,87.0,5374.454
15,3,22.71,12.75,-85.689,53.618,92.0,5412.9895
15,4,23.98,12.75,-87.0007,52.1698,95.0,5437.8437
15,5,25.25,12.75,-88.2085,50.7172,100.0,5461.1615
15,6,26.52,12.75,-89.3232,49.2628,103.0,5479.1419
15,7,27.79,12.75,-90.3544,47.8091,104.0,5500.9153
15,8,29.06,12.75,-91.3107,46.358,104.0,5535.6449
15,9,30.33,12.75,-92.1993,44.9113,109.0,5551.4118
15,10,31.6,12.75,-93.0269,43.4707,108.0,5571.7791
15,11,32.87,12.75,-93.7991,42.0374,105.0,5585.1784
15,12,34.14,12.75,-94.5212,40.6128,105.0,5598.9995
15,13,35.41,12.75,-95.1977,39.1978,102.0,5617.5138
15,14,36.68,12.75,-95.8325,37.7936,101.0,5634.4061
15,15,37.95,12.75,-96.4293,36.4008,96.0,5645.6379
15,16,39.22,12.75,-96.9912,35.0203,93.0,5659.3687
15,17,40.49,12.75,-97.5212,33.6526,92.0,5671.8244
15,18,41.76,12.75,-98.0217,32.2985,90.0,5682.8877
15,19,43.03,12.75,-98.4952,30.9582,86.0,5698.9511
15,20,44.3,12.75,-98.9436,29.6324,82.0,5710.2013
15,21,45.57,12.75,-99.3689,28.3213,79.0,5732.3432
16,0,18.9,14.02,-78.432,56.9262,73.0,5326.8778
16,1,20.17,14.02,-80.1972,55.5603,77.0,5362.593
16,2,21.44,14.02,-81.8186,54.1765,84.0,5406.3498
16,3,22.71,14.02,-83.3109,52.7788,88.0,5437.1639
16,4,23.98,14.02,-84.6871,51.371,90.0,5475.6386
16,5,25.25,14.02,-85.9589,49.9563,96.0,5495.3837
16,6,26.52,14.02,-87.1365,48.5375,100.0,5513.3255
16,7,27.79,14.02,-88.2291,47.1172,104.0,5537.1477
16,8,29.06,14.02,-89.245,45.6976,106.0,5564.8511
16,9,30.33,14.02,-90.1913,44.2805,106.0,5585.9901
16,10,31.6,14.02,-91.0745,42.8677,105.0,5602.5764
16,11,32.87,14.02,-91.9004,41.4607,105.0,5606.6306
16,12,34.14,14.02,-92.6739,40.0608,103.0,5619.3307
16,13,35.41,14.02,-93.3997,38.6693,101.0,5638.8187
16,14,36.68,14.02,-94.0819,37.2871,98.0,5656.5714
16,15,37.95,14.02,-94.7241,35.9153,96.0,5668.5899
16,16,39.22,14.02,-95.3295,34.5546,94.0,5679.783
16,17,40.49,14.02,-95.9012,33.2058,91.0,5692.5259
16,18,41.76,14.02,-96.4417,31.8694,87.0,5708.219
16,19,43.03,14.02,-96.9534,30.5461,85.0,5720.9545
16,20,44.3,14.02,-97.4385,29.2364,81.0,5733.5539
16,21,45.57,14.02,-97.899,27.9406,78.0,5755.3071
17,0,18.9,15.29,-76.0273,55.8952,72.0,5336.2772
17,1,20.17,15.29,-77.8358,54.5785,75.0,5389.2532
17,2,21.44,15.29,-79.5053,53.241,84.0,5429.2508
17,3,22.71,15.29,-81.0487,51.8871,86.0,5459.326
17,4,23.98,15.29,-82.4778,50.5206,89.0,5496.6633
17,5,25.25,15.29,-83.8032,49.1449,89.0,5526.3631
17,6,26.52,15.29,-85.0346,47.7628,96.0,5547.3196
17,7,27.79,15.29,-86.1805,46.3772,102.0,5566.0654
17,8,29.06,15.29,-87.2488,44.9902,103.0,5587.5535
17,9,30.33,15.29,-88.2464,43.604,102.0,5608.1842
17,10,31.6,15.29,-89.1795,42.2203,101.0,5630.0127
17,11,32.87,15.29,-90.0538,40.8409,100.0,5646.1376
17,12,34.14,15.29,-90.8742,39.4671,101.0,5657.0487
17,13,35.41,15.29,-91.6454,38.1003,97.0,5676.1147
17,14,36.68,15.29,-92.3713,36.7415,95.0,5685.8974
17,15,37.95,15.29,-93.0556,35.3918,93.0,5698.0537
17,16,39.22,15.29,-93.7016,34.0522,93.0,5713.3854
17,17,40.49,15.29,-94.3123,32.7233,88.0,5721.8875
17,18,41.76,15.29,-94.8903,31.406,88.0,5736.6934
17,19,43.03,15.29,-95.4382,30.1007,83.0,5747.5815
17,20,44.3,15.29,-95.9581,28.8082,81.0,5760.515
17,21,45.57,15.29,-96.452,27.5287,78.0,5772.7504
18,0,18.9,16.56,-73.7755,54.8171,67.0,5364.4806
18,1,20.17,16.56,-75.6133,53.5491,75.0,5409.2101
18,2,21.44,16.56,-77.3179,52.258,80.0,5443.6776
18,3,22.71,16.56,-78.9007,50.9481,84.0,5478.4554
18,4,23.98,16.56,-80.372,49.6234,86.0,5510.9482
18,5,25.25,16.56,-81.7415,48.2872,90.0,5547.6594
18,6,26.52,16.56,-83.0179,46.9427,96.0,5569.2363
18,7,27.79,16.56,-84.2094,45.5925,97.0,5592.8582
18,8,29.06,16.56,-85.3231,44.2392,98.0,5612.324
18,9,30.33,16.56,-86.3657,42.8849,100.0,5630.6713
18,10,31.6,16.56,-87.3432,41.5314,99.0,5653.9817
18,11,32.87,16.56,-88.2609,40.1806,98.0,5674.2775
18,12,34.14,16.56,-89.1238,38.834,98.0,5686.0078
18,13,35.41,16.56,-89.9362,37.493,97.0,5699.3707
18,14,36.68,16.56,-90.7021,36.1587,95.0,5714.7927
18,15,37.95,16.56,-91.4253,34.8323,95.0,5724.6133
18,16,39.22,16.56,-92.1089,33.5148,91.0,5733.8145
18,17,40.49,16.56,-92.7559,32.207,88.0,5741.364
18,18,41.76,16.56,-93.3691,30.9096,87.0,5757.2279
18,19,43.03,16.56,-93.9509,29.6235,84.0,5769.1115
18,20,44.3,16.56,-94.5035,28.3491,81.0,5780.2638
18,21,45.57,16.56,-95.029,27.0869,76.0,5794.8211
19,0,18.9,17.83,-71.6686,53.698,64.0,5375.6922
19,1,20.17,17.83,-73.5238,52.4779,73.0,5421.1761
